Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
1,AAPL,2020-02-04,79.71,2020-02-19,80.9,1.49
2,AAPL,2020-03-02,74.7,2020-03-16,60.55,-18.94
3,AAPL,2020-03-17,63.22,2020-03-31,63.57,0.55
4,AAPL,2020-04-06,65.62,2020-04-21,67.09,2.24
5,AAPL,2020-04-22,69.03,2020-05-06,75.16,8.88
6,AAPL,2020-05-08,77.53,2020-05-22,79.72,2.82
7,AAPL,2020-06-05,82.88,2020-06-19,87.43,5.49
8,AAPL,2020-06-22,89.72,2020-07-07,93.17,3.85
9,AAPL,2020-07-08,95.34,2020-07-22,97.27,2.02
10,AAPL,2020-07-27,94.81,2020-08-10,112.73,18.9
11,AAPL,2020-08-12,113.01,2020-08-26,126.52,11.95
12,AAPL,2020-08-31,129.04,2020-09-15,115.54,-10.46
13,AAPL,2020-09-21,110.08,2020-10-05,116.5,5.83
14,AAPL,2020-10-12,124.4,2020-10-26,115.05,-7.52
15,AAPL,2020-10-29,115.32,2020-11-12,119.21,3.37
16,AAPL,2020-11-30,119.05,2020-12-14,121.78,2.29
17,AAPL,2020-12-15,127.88,2020-12-30,133.72,4.57
18,AAPL,2021-01-07,130.92,2021-01-22,139.07,6.23
19,AAPL,2021-01-25,142.92,2021-02-08,136.91,-4.21
20,AAPL,2021-03-01,127.79,2021-03-15,123.99,-2.97
21,AAPL,2021-03-22,123.39,2021-04-06,126.21,2.29
22,AAPL,2021-04-09,133.0,2021-04-23,134.32,0.99
23,AAPL,2021-05-20,127.31,2021-06-04,125.89,-1.12
24,AAPL,2021-06-14,130.48,2021-06-28,134.78,3.3
25,AAPL,2021-07-14,149.15,2021-07-28,144.98,-2.8
26,AAPL,2021-08-12,148.89,2021-08-26,147.54,-0.91
27,AAPL,2021-08-30,153.12,2021-09-14,148.12,-3.27
28,AAPL,2021-10-14,143.76,2021-10-28,152.57,6.13
29,AAPL,2021-11-18,157.87,2021-12-03,161.84,2.51
30,AAPL,2021-12-06,165.32,2021-12-20,169.75,2.68
31,AAPL,2021-12-27,180.33,2022-01-10,172.19,-4.51
32,AAPL,2022-01-28,170.33,2022-02-11,168.64,-0.99
33,AAPL,2022-02-15,172.79,2022-03-02,166.56,-3.61
34,AAPL,2022-03-09,162.95,2022-03-23,170.21,4.46
35,AAPL,2022-03-24,174.07,2022-04-07,172.14,-1.11
36,AAPL,2022-04-28,163.64,2022-05-12,142.56,-12.88
37,AAPL,2022-05-13,147.11,2022-05-27,149.64,1.72
38,AAPL,2022-06-15,135.43,2022-06-30,136.72,0.95
39,AAPL,2022-07-07,146.35,2022-07-21,155.35,6.15
40,AAPL,2022-07-27,156.79,2022-08-10,169.24,7.94
41,AAPL,2022-08-12,172.1,2022-08-26,163.62,-4.93
42,AAPL,2022-09-12,163.43,2022-09-26,150.77,-7.75
43,AAPL,2022-10-03,142.45,2022-10-17,142.41,-0.03
44,AAPL,2022-10-21,147.27,2022-11-04,138.38,-6.04
45,AAPL,2022-11-10,146.87,2022-11-25,148.11,0.84
46,AAPL,2022-11-30,148.03,2022-12-14,143.21,-3.26
47,AAPL,2022-12-21,135.45,2023-01-06,129.62,-4.3
48,AAPL,2023-01-11,133.49,2023-01-26,143.96,7.84
49,AAPL,2023-02-02,150.82,2023-02-16,153.71,1.92
50,AAPL,2023-03-03,151.03,2023-03-17,155.0,2.63
51,AAPL,2023-04-13,165.56,2023-04-27,168.41,1.72
52,AAPL,2023-05-05,173.57,2023-05-19,175.16,0.92
53,AAPL,2023-06-30,193.97,2023-07-17,193.99,0.01
54,AAPL,2023-08-23,181.12,2023-09-07,177.56,-1.97
55,AAPL,2023-11-02,177.57,2023-11-16,189.71,6.84
56,AAPL,2023-12-05,193.42,2023-12-19,196.94,1.82
57,AAPL,2024-01-08,185.56,2024-01-23,195.18,5.18
58,AAPL,2024-03-27,173.31,2024-04-11,175.04,1.0
59,AAPL,2024-04-29,173.5,2024-05-13,186.28,7.37
60,AAPL,2024-06-11,207.15,2024-06-26,213.25,2.94
61,AAPL,2024-07-01,216.75,2024-07-16,234.82,8.34
62,AAPL,2024-09-19,228.87,2024-10-03,225.67,-1.4
63,AAPL,2024-11-07,227.48,2024-11-21,228.52,0.46
