Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
1,GOOGL,2020-02-03,74.13,2020-02-18,75.97,2.48
2,GOOGL,2020-03-02,69.32,2020-03-16,53.65,-22.61
3,GOOGL,2020-03-17,55.9,2020-03-31,58.1,3.94
4,GOOGL,2020-04-06,59.16,2020-04-21,60.61,2.45
5,GOOGL,2020-04-22,62.92,2020-05-06,67.27,6.91
6,GOOGL,2020-05-20,70.46,2020-06-04,70.71,0.35
7,GOOGL,2020-06-29,69.86,2020-07-14,76.04,8.85
8,GOOGL,2020-07-20,78.19,2020-08-03,74.14,-5.18
9,GOOGL,2020-08-18,77.79,2020-09-01,82.75,6.38
10,GOOGL,2020-09-02,85.87,2020-09-17,74.35,-13.42
11,GOOGL,2020-09-22,72.99,2020-10-06,72.55,-0.6
12,GOOGL,2020-10-12,78.23,2020-10-26,79.21,1.25
13,GOOGL,2020-10-29,77.84,2020-11-12,87.14,11.95
14,GOOGL,2020-11-24,88.19,2020-12-09,88.89,0.79
15,GOOGL,2020-12-28,88.7,2021-01-12,86.87,-2.06
16,GOOGL,2021-01-19,89.22,2021-02-02,95.96,7.55
17,GOOGL,2021-02-03,102.94,2021-02-18,105.29,2.28
18,GOOGL,2021-03-01,103.48,2021-03-15,102.72,-0.73
19,GOOGL,2021-04-01,106.49,2021-04-16,114.14,7.18
20,GOOGL,2021-04-23,115.0,2021-05-07,117.6,2.26
21,GOOGL,2021-05-14,113.92,2021-05-28,117.84,3.44
22,GOOGL,2021-07-02,125.26,2021-07-19,124.58,-0.54
23,GOOGL,2021-07-23,133.01,2021-08-06,135.74,2.05
24,GOOGL,2021-10-01,136.54,2021-10-15,141.37,3.54
25,GOOGL,2021-10-27,146.22,2021-11-10,145.89,-0.23
26,GOOGL,2021-11-29,145.53,2021-12-13,145.83,0.21
27,GOOGL,2021-12-22,146.41,2022-01-06,137.75,-5.91
28,GOOGL,2022-01-28,133.35,2022-02-11,134.28,0.7
29,GOOGL,2022-02-24,132.69,2022-03-10,132.43,-0.2
30,GOOGL,2022-03-15,129.2,2022-03-29,142.51,10.3
31,GOOGL,2022-04-04,142.97,2022-04-19,130.01,-9.06
32,GOOGL,2022-04-25,123.07,2022-05-09,112.51,-8.58
33,GOOGL,2022-05-13,116.05,2022-05-27,112.32,-3.21
34,GOOGL,2022-06-02,117.62,2022-06-16,106.03,-9.85
35,GOOGL,2022-06-21,111.54,2022-07-06,114.57,2.72
36,GOOGL,2022-07-07,118.78,2022-07-21,114.34,-3.74
37,GOOGL,2022-07-27,113.06,2022-08-10,119.7,5.87
38,GOOGL,2022-08-12,121.68,2022-08-26,110.34,-9.32
39,GOOGL,2022-09-07,109.45,2022-09-21,99.28,-9.29
40,GOOGL,2022-09-28,100.05,2022-10-12,97.56,-2.49
41,GOOGL,2022-10-17,99.97,2022-10-31,94.51,-5.46
42,GOOGL,2022-11-04,86.58,2022-11-18,97.43,12.53
43,GOOGL,2022-11-30,100.99,2022-12-14,95.07,-5.86
44,GOOGL,2022-12-29,88.45,2023-01-13,92.12,4.15
45,GOOGL,2023-01-19,93.05,2023-02-02,107.74,15.79
46,GOOGL,2023-02-07,107.64,2023-02-22,91.65,-14.86
47,GOOGL,2023-03-14,93.97,2023-03-28,101.03,7.51
48,GOOGL,2023-03-31,103.73,2023-04-17,105.97,2.16
49,GOOGL,2023-04-27,107.59,2023-05-11,116.57,8.35
50,GOOGL,2023-05-16,119.51,2023-05-31,122.87,2.81
51,GOOGL,2023-06-22,123.15,2023-07-07,119.48,-2.98
52,GOOGL,2023-07-13,124.54,2023-07-27,129.4,3.9
53,GOOGL,2023-07-28,132.58,2023-08-11,129.56,-2.28
54,GOOGL,2023-08-23,132.37,2023-09-07,135.26,2.18
55,GOOGL,2023-10-02,134.17,2023-10-16,139.1,3.67
56,GOOGL,2023-12-07,136.93,2023-12-21,140.42,2.55
57,GOOGL,2024-01-08,138.84,2024-01-23,147.04,5.91
58,GOOGL,2024-01-25,151.87,2024-02-08,145.91,-3.92
59,GOOGL,2024-02-09,149.0,2024-02-26,137.57,-7.67
60,GOOGL,2024-03-07,134.38,2024-03-21,147.6,9.84
61,GOOGL,2024-03-22,150.77,2024-04-08,154.85,2.71
62,GOOGL,2024-04-11,159.41,2024-04-25,156.0,-2.14
63,GOOGL,2024-04-26,171.95,2024-05-10,168.65,-1.92
64,GOOGL,2024-06-25,184.03,2024-07-10,191.18,3.89
65,GOOGL,2024-07-22,181.67,2024-08-05,159.25,-12.34
66,GOOGL,2024-08-19,166.67,2024-09-03,157.36,-5.59
67,GOOGL,2024-09-12,154.69,2024-09-26,162.73,5.2
68,GOOGL,2024-10-30,174.46,2024-11-13,178.88,2.53
69,GOOGL,2024-12-10,185.17,,,
