Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
1,TSLA,2020-01-30,42.72,2020-02-13,53.6,25.47
2,TSLA,2020-02-18,57.23,2020-03-03,49.7,-13.16
3,TSLA,2020-03-10,43.02,2020-03-24,33.67,-21.73
4,TSLA,2020-03-25,35.95,2020-04-08,36.59,1.78
5,TSLA,2020-04-09,38.2,2020-04-24,48.34,26.54
6,TSLA,2020-04-27,53.25,2020-05-11,54.09,1.58
7,TSLA,2020-05-29,55.67,2020-06-12,62.35,12.0
8,TSLA,2020-06-15,66.06,2020-06-29,67.29,1.86
9,TSLA,2020-06-30,71.99,2020-07-15,103.07,43.17
10,TSLA,2020-07-20,109.53,2020-08-03,99.0,-9.61
11,TSLA,2020-08-12,103.65,2020-08-26,143.54,38.49
12,TSLA,2020-08-27,149.25,2020-09-11,124.24,-16.76
13,TSLA,2020-09-14,139.87,2020-09-28,140.4,0.38
14,TSLA,2020-09-30,143.0,2020-10-14,153.77,7.53
15,TSLA,2020-11-02,133.5,2020-11-16,136.03,1.9
16,TSLA,2020-11-17,147.2,2020-12-02,189.61,28.81
17,TSLA,2020-12-03,197.79,2020-12-17,218.63,10.54
18,TSLA,2020-12-18,231.67,2021-01-05,245.04,5.77
19,TSLA,2021-01-06,251.99,2021-01-21,281.66,11.77
20,TSLA,2021-01-25,293.6,2021-02-08,287.81,-1.97
21,TSLA,2021-02-24,247.34,2021-03-10,222.69,-9.97
22,TSLA,2021-03-11,233.2,2021-03-25,213.46,-8.46
23,TSLA,2021-03-30,211.87,2021-04-14,244.08,15.2
24,TSLA,2021-04-21,248.04,2021-05-05,223.65,-9.83
25,TSLA,2021-05-14,196.58,2021-05-28,208.41,6.02
26,TSLA,2021-06-04,199.68,2021-06-18,207.77,4.05
27,TSLA,2021-06-23,218.86,2021-07-08,217.6,-0.58
28,TSLA,2021-07-12,228.57,2021-07-26,219.21,-4.1
29,TSLA,2021-07-29,225.78,2021-08-12,240.75,6.63
30,TSLA,2021-08-18,229.66,2021-09-01,244.7,6.55
31,TSLA,2021-09-07,250.97,2021-09-21,246.46,-1.8
32,TSLA,2021-09-24,258.13,2021-10-08,261.83,1.43
33,TSLA,2021-10-15,281.01,2021-10-29,371.33,32.14
34,TSLA,2021-11-01,402.86,2021-11-15,337.8,-16.15
35,TSLA,2021-11-16,351.58,2021-12-01,365.0,3.82
36,TSLA,2021-12-07,350.58,2021-12-21,312.84,-10.77
37,TSLA,2021-12-22,336.29,2022-01-06,354.9,5.53
38,TSLA,2022-01-10,352.71,2022-01-25,306.13,-13.21
39,TSLA,2022-01-26,312.47,2022-02-09,310.67,-0.58
40,TSLA,2022-02-15,307.48,2022-03-02,293.3,-4.61
41,TSLA,2022-03-08,274.8,2022-03-22,331.33,20.57
42,TSLA,2022-03-28,363.95,2022-04-11,325.31,-10.62
43,TSLA,2022-04-13,340.79,2022-04-28,292.5,-14.17
44,TSLA,2022-05-02,300.98,2022-05-16,241.46,-19.78
45,TSLA,2022-05-17,253.87,2022-06-01,246.79,-2.79
46,TSLA,2022-06-02,258.33,2022-06-16,213.1,-17.51
47,TSLA,2022-06-21,237.04,2022-07-06,231.73,-2.24
48,TSLA,2022-07-07,244.54,2022-07-21,271.71,11.11
