Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
1,^GSPC,2022-02-25,4384.65,2022-03-11,4204.31,-4.11
2,^GSPC,2022-03-15,4262.45,2022-03-29,4631.6,8.66
3,^GSPC,2022-04-28,4287.5,2022-05-12,3930.08,-8.34
4,^GSPC,2022-05-13,4023.89,2022-05-27,4158.24,3.34
5,^GSPC,2022-06-21,3764.79,2022-07-06,3845.08,2.13
6,^GSPC,2022-07-19,3936.69,2022-08-02,4091.19,3.92
7,^GSPC,2022-08-10,4210.24,2022-08-24,4140.77,-1.65
8,^GSPC,2022-10-03,3678.43,2022-10-17,3677.95,-0.01
9,^GSPC,2022-10-21,3752.75,2022-11-04,3770.55,0.47
10,^GSPC,2022-11-10,3956.37,2022-11-25,4026.12,1.76
11,^GSPC,2022-11-30,4080.11,2022-12-14,3995.32,-2.08
12,^GSPC,2023-01-06,3895.08,2023-01-23,4019.81,3.2
13,^GSPC,2024-02-22,5087.03,2024-03-07,5157.36,1.38
14,^GSPC,2024-08-08,5319.31,2024-08-22,5570.64,4.72
15,^GSPC,2024-11-06,5929.04,2024-11-20,5917.11,-0.2
