Sr. No.,Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%)
1,^IXIC,2023-03-14,11428.15,2023-03-28,11716.08,2.52
2,^IXIC,2023-04-27,12142.24,2023-05-11,12328.51,1.53
3,^IXIC,2023-05-26,12975.69,2023-06-12,13461.92,3.75
4,^IXIC,2023-11-10,13798.11,2023-11-27,14241.02,3.21
5,^IXIC,2024-01-08,14843.77,2024-01-23,15425.94,3.92
6,^IXIC,2024-02-22,16041.62,2024-03-07,16273.38,1.44
7,^IXIC,2024-04-26,15927.9,2024-05-10,16340.87,2.59
8,^IXIC,2024-07-31,17599.4,2024-08-14,17192.6,-2.31
9,^IXIC,2024-08-15,17594.5,2024-08-29,17516.43,-0.44
10,^IXIC,2024-09-11,17395.53,2024-09-25,18082.21,3.95
11,^IXIC,2024-11-06,18983.47,2024-11-20,18966.14,-0.09
